# Original paramaters
"","SBS2","SBS7a","SBS7b"
"prob",1,0.822429906542056,0.822429906542056
"mean",3.42028988175394,4.65349743487709,4.12689503980074
"stdev",0.520727188201553,0.704988090690438,0.603572045032962
# Parameters derived from synthetic exposures
"prob",1,0.83,0.817
"mean",3.40385493977085,4.63973671377772,4.11791450994508
"stdev",0.540390435293937,0.716838229077194,0.603331266410441
# Difference between original parameters and parameters derived from synthetic exposures
"prob",0,-0.0075700934579439,0.00542990654205611
"mean",0.0164349419830918,0.0137607210993673,0.00898052985565911
"stdev",-0.0196632470923841,-0.0118501383867557,0.000240778622520366
# The difference should be small
